logFC	logCPM	PValue	FDR	test	SYMBOL
-4.30968091079937	5.38221275593703	0.0435862688853848	0.186063147830782	0	RLN1
-2.19735312958882	3.21454806191098	0.173995173103799	0.426810200753498	0	RLN2
0.0279910282877109	4.12374676900774	0.958986772561647	1	0	RMC1
0.242399059296867	4.77711885718077	0.597642599061738	0.816352043597759	0	RMDN1
-0.451125393966919	2.29896985856002	0.527803711930721	0.770273434675357	0	RMDN2
-0.169573802799241	4.95767395695429	0.73026403109619	0.900502269820435	0	RMDN3
1.66354081581695	3.40516745789559	0.00561694875818664	0.0496752354321752	1	RMI1
-0.111673149686989	1.94184092771108	0.88996687818574	0.979028812842891	0	RMI2
-0.190980814369574	3.48924099425275	0.781142105269938	0.928215188245926	0	RMND1
0.249254509656164	5.1748709533058	0.590976099711343	0.812598910108518	0	RMND5A
0.718624883691398	5.94771908745132	0.0834017950579602	0.276409483124173	0	RMND5B
2.6600238327552	1.05125560791481	0.0639990374617319	0.235947311330046	0	RMRP
-0.0108500226805515	2.40009361920742	1	1	0	RMST
-1.08956632924416	1.79877369366856	0.14858025124501	0.389714262479301	0	RN7SKP23
0.939346313767535	0.736853632194679	0.438088371964023	0.702423795688709	0	RN7SKP71
0.420992017902898	0.753645966012509	0.721289979223717	0.895940077669857	0	RN7SKP80
1.6100816596702	4.74162534618973	0.0316785053005085	0.153334184527139	0	RN7SL1
0.882544008985324	2.36780462877798	0.24551469371216	0.51563051027482	0	RN7SL3
0.727876954534058	3.30570943697603	0.307666430512936	0.582650583489265	0	RN7SL4P
-1.85367921801946	0.349675384643534	0.2580698739632	0.529027091083675	0	RN7SL573P
1.4530647154553	3.03808703542549	0.106786969655893	0.321056299152448	0	RN7SL5P
0.259803688156283	0.42441035864027	1	1	0	RN7SL689P
3.24384732526594	5.85871251865593	0.000859881416495495	0.013534112574666	1	RNA5-8SN1
3.22269595060214	5.90582461920259	0.000902304866428918	0.0140059495042406	1	RNA5-8SN2
3.22450788375151	5.90567181311474	0.000888369716693086	0.0138729089444722	1	RNA5-8SN3
3.23519858553459	5.81857390720498	0.000701832696229218	0.0118799384816897	1	RNA5-8SN4
3.23629990897305	5.85508545960573	0.000867927316547804	0.0136131526670381	1	RNA5-8SN5
2.16832930353665	0.48862537112519	0.173881049518717	0.426669688966206	0	RNA5SP122
0.46127365627424	2.45488395205975	0.548928976520057	0.785131078816439	0	RNA5SP216
0.454781082293559	2.08868065637682	0.689772323475642	0.87545220670349	0	RNA5SP352
0.158973915246268	0.404912406455791	1	1	0	RNA5SP383
-0.145088747953802	4.50719531937026	0.810548911324752	0.941397722833009	0	RNASE1
-1.456281633766	0.949661465548042	0.410947859136589	0.679728748081336	0	RNASE4
-1.01147134083253	2.30608439734743	0.167339640136033	0.4179497390833	0	RNASE6
